ID,lat,lon,Station,state or country,country,Years,Range,
EYW,24.56,-81.75,Key West, Florida , United States ,67.3,1945 1948-1952 1960-2020 ,
HST,25.48,-80.38,Homestead, Florida , United States ,60.6,1943-1944 1956-1970 1973-1992 1996-2020 ,
BRO,25.91,-97.42,Brownsville, Texas , United States ,73.8,1947-2020 ,
MFE,26.18,-98.25,McAllen, Texas , United States ,43.9,1973-1986 1988-1994 1997-2020 ,
FMY,26.59,-81.86,Fort Myers, Florida , United States ,62.6,1943-1945 1948-1954 1965-1995 1998-2020 ,
PBI,26.69,-80.1,West Palm Beach, Florida , United States ,74.1,1943 1948-2020 ,
ALI,27.74,-98.03,Alice, Texas , United States ,39,1948-1954 1976-1982 1994-2020 ,
CRP,27.77,-97.51,Corpus Christi, Texas , United States ,74.3,1947-2020 ,
TPA,27.96,-82.54,Tampa, Florida , United States ,76.7,1942-1945 1948-2020 ,
MCO,28.43,-81.33,Orlando, Florida , United States ,66,1953-1970 1973-2020 ,
PSX,28.73,-96.25,Palacios, Texas , United States ,52,1949-1958 1973-1981 1987-2020 ,
VCT,28.86,-96.93,Victoria, Texas , United States ,61.6,1953-1958 1964-2020 ,
DAB,29.18,-81.05,Daytona Beach, Florida , United States ,72.9,1948-2020 ,
SAT,29.54,-98.48,San Antonio, Texas , United States ,74.2,1947-2020 ,
GNV,29.69,-82.28,Gainesville, Florida , United States ,48.3,1944 1973-2020 ,
AAF,29.73,-85.03,Apalachicola, Florida , United States ,41.6,1945 1948 1973-1991 1999-2020 ,
IAH,29.98,-95.36,Houston (Bush), Texas , United States ,55.1,1942-1949 1973-2020 ,
MSY,30,-90.28,New Orleans, Louisiana , United States ,75.2,1946-2020 ,
PAM,30.07,-85.58,Panama City, Florida , United States ,74.5,1942-2003 2007-2020 ,
LCH,30.13,-93.23,Lake Charles, Louisiana , United States ,75.1,1942-1944 1947 1949-2020 ,
AUS,30.18,-97.68,Austin, Texas , United States ,76.4,1943-1945 1948-2020 ,
LFT,30.21,-91.99,Lafayette, Louisiana , United States ,60.4,1946-1958 1973-2020 ,
NIP,30.23,-81.67,Jacksonville (NAS), Florida , United States ,75.3,1945-2020 ,
TLH,30.39,-84.35,Tallahassee, Florida , United States ,75.3,1942-1944 1948-2020 ,
PNS,30.48,-87.19,Pensacola, Florida , United States ,58.8,1949-1954 1965-1995 1998-2020 ,
VPS,30.48,-86.52,Valparaiso, Florida , United States ,78.9,1941-2020 ,
JAX,30.5,-81.69,Jacksonville, Florida , United States ,72.9,1948-2020 ,
BTR,30.54,-91.15,Baton Rouge, Louisiana , United States ,75.3,1942-1944 1949-2020 ,
CLL,30.59,-96.37,College Station, Texas , United States ,48.4,1952-1954 1973-1981 1983-1985 1988-2020 ,
MOB,30.69,-88.25,Mobile, Alabama , United States ,72.8,1948-2020 ,
NSE,30.72,-87.02,Milton, Florida , United States ,63.8,1945 1947 1949-1998 2007-2020 ,
VLD,30.78,-83.28,Valdosta, Georgia , United States ,38.8,1948-1954 1988-2020 ,
LFK,31.24,-94.75,Lufkin, Texas , United States ,68.1,1949-1985 1990-2020 ,
DHN,31.32,-85.45,Dothan, Alabama , United States ,49.5,1942-1945 1949-1954 1973-1993 2002-2020 ,
AEX,31.34,-92.56,Alexandria, Louisiana , United States ,61,1944-1945 1952-1972 1974-1991 2000-2020 ,
SJT,31.35,-100.5,San Angelo, Texas , United States ,72.5,1948-2020 ,
ACT,31.62,-97.23,Waco, Texas , United States ,75.3,1942-1945 1949-2020 ,
INK,31.78,-103.2,Wink, Texas , United States ,49.4,1947-1954 1973-1981 1988-2020 ,
ELP,31.81,-106.38,El Paso, Texas , United States ,77.2,1941-1944 1948-2020 ,
MAF,31.95,-102.21,Midland, Texas , United States ,72.6,1948-2020 ,
TUS,32.13,-110.96,Tucson, Arizona , United States ,71.2,1949-2020 ,
SAV,32.13,-81.2,Savannah, Georgia , United States ,72.9,1948-2020 ,
MGM,32.3,-86.41,Montgomery, Alabama , United States ,72.8,1948-2020 ,
JAN,32.32,-90.08,Jackson, Mississippi , United States ,77.3,1943-1944 1946-2020 ,
MEI,32.34,-88.74,Meridian, Mississippi , United States ,67.5,1942-1944 1949-1951 1960-2020 ,
ABI,32.41,-99.68,Abilene, Texas , United States ,74.2,1947-2020 ,
SHV,32.45,-93.82,Shreveport, Louisiana , United States ,72.4,1948-2020 ,
NBC,32.48,-80.72,Beaufort, South Carolina , United States ,62,1945 1958-2020 ,
CSG,32.52,-84.94,Columbus, Georgia , United States ,59.6,1948-1951 1965-2020 ,
MLU,32.52,-92.04,Monroe, Louisiana , United States ,44.9,1960-1966 1973-1979 1990-2020 ,
MCN,32.69,-83.65,Macon, Georgia , United States ,60.3,1942-1945 1949-1953 1963-1987 1995-2020 ,
NZY,32.7,-117.2,North Island, California , United States ,74.5,1945-2020 ,
IPL,32.83,-115.58,Imperial, California , United States ,36.2,1973-1981 1989-2020 ,
HMN,32.85,-106.1,Alamogordo, New Mexico , United States ,68.1,1943-1945 1948-1970 1974-2001 2007-2020 ,
NKX,32.87,-117.13,Miramar, California , United States ,22.5,1980 1995-2004 2006-2009 2014-2020 ,
CHS,32.9,-80.04,Charleston, South Carolina , United States ,75.9,1945-2020 ,
TCL,33.21,-87.62,Tuscaloosa, Alabama , United States ,46.4,1949-1954 1973-1990 19921993 1999-2020 ,
TCS,33.24,-107.27,Truth or Consequences, New Mexico , United States ,48.1,1950-1972 19791980 1997-2020 ,
ROW,33.31,-104.51,Roswell, New Mexico , United States ,69.6,1943-1966 1973-1988 1990-1993 1995-2020 ,
AGS,33.36,-81.96,Augusta, Georgia , United States ,72.5,1948-2020 ,
PHX,33.43,-112,Phoenix, Arizona , United States ,66.9,1948-2020 ,
TXK,33.45,-94.01,Texarkana, Arkansas , United States ,45.5,1947-1953 1956-1968 1973-1975 1997-2020 ,
GWO,33.5,-90.09,Greenwood, Mississippi , United States ,55,1943-1945 1949-1954 1973-2020 ,
BHM,33.57,-86.75,Birmingham, Alabama , United States ,74.5,1943 1948-2020 ,
BLH,33.62,-114.71,Blythe, California , United States ,45,1943 1949-1954 1970-1981 1988-2020 ,
TRM,33.63,-116.16,Thermal, California , United States ,40.1,1944 1950-1953 1973-1981 1989-2020 ,
ATL,33.63,-84.44,Atlanta, Georgia , United States ,75.9,1945-2020 ,
CBM,33.65,-88.45,Columbus, Mississippi , United States ,57.6,1942-1945 1959-1970 1973-2000 2007-2020 ,
LBB,33.67,-101.82,Lubbock, Texas , United States ,73.8,1947-2020 ,
LGB,33.81,-118.15,Long Beach, California , United States ,65.3,1943-1957 1959-1985 1997-2020 ,
RIV,33.9,-117.25,Riverside, California , United States ,83.7,1936-2020 ,
LAX,33.94,-118.39,Los Angeles, California , United States ,74.7,1944 1947-2020 ,
CAE,33.94,-81.12,Columbia, South Carolina , United States ,76,1943-1945 1948-2020 ,
AHN,33.95,-83.33,Athens, Georgia , United States ,65.2,1956-2020 ,
FLO,34.19,-79.72,Florence, South Carolina , United States ,54.6,1948-1951 1959-1964 1973-1995 1999-2020 ,
OXR,34.2,-119.21,Oxnard, California , United States ,40.3,1945 1953-1969 1998-2020 ,
TUP,34.26,-88.77,Tupelo, Mississippi , United States ,35,1986-2020 ,
ILM,34.27,-77.9,Wilmington, North Carolina , United States ,70.3,1942-1945 1948-1953 1960-2020 ,
CVS,34.38,-103.32,Clovis, New Mexico , United States ,65.6,1943-1946 1952-1971 1974-2002 2007-2020 ,
SBA,34.43,-119.84,Santa Barbara, California , United States ,56.2,1949-1954 1957-1964 1973-1986 1993-2020 ,
CDS,34.43,-100.28,Childress, Texas , United States ,50,1943-1945 1947-1954 1973-1979 1981 1988-2020 ,
HSV,34.64,-86.79,Huntsville, Alabama , United States ,62.2,1959-2020 ,
