ZIP,lat,lon,Place,State,St,County,Sub_order,Acc
23301,37.7159,-75.6803,Accomac,Virginia,VA,Accomack,1,4
23302,37.8658,-75.5277,Assawoman,Virginia,VA,Accomack,1,1
23303,37.9073,-75.5089,Atlantic,Virginia,VA,Accomack,1,4
23306,37.5645,-75.8694,Belle Haven,Virginia,VA,Accomack,1,4
23308,37.8273,-75.6156,Bloxom,Virginia,VA,Accomack,1,4
23336,37.9299,-75.3624,Chincoteague Island,Virginia,VA,Accomack,1,4
23337,37.9186,-75.4905,Wallops Island,Virginia,VA,Accomack,1,1
23341,37.5773,-75.8646,Craddockville,Virginia,VA,Accomack,1,4
23345,37.5529,-75.878,Davis Wharf,Virginia,VA,Accomack,1,4
23356,38.0064,-75.4029,Greenbackville,Virginia,VA,Accomack,1,4
23357,37.7681,-75.6664,Greenbush,Virginia,VA,Accomack,1,4
23358,37.6393,-75.865,Hacksneck,Virginia,VA,Accomack,1,4
23359,37.8837,-75.6041,Hallwood,Virginia,VA,Accomack,1,4
23389,37.6618,-75.8305,Harborton,Virginia,VA,Accomack,1,4
23395,37.9699,-75.4716,Horntown,Virginia,VA,Accomack,1,4
23396,37.9237,-75.5551,Oak Hall,Virginia,VA,Accomack,1,4
23399,37.9162,-75.6168,Jenkins Bridge,Virginia,VA,Accomack,1,1
23401,37.6193,-75.7638,Keller,Virginia,VA,Accomack,1,4
23404,37.6534,-75.6735,Locustville,Virginia,VA,Accomack,1,4
23407,37.846,-75.5666,Mappsville,Virginia,VA,Accomack,1,4
23409,37.8692,-75.6354,Mears,Virginia,VA,Accomack,1,4
23410,37.6407,-75.7454,Melfa,Virginia,VA,Accomack,1,4
23412,37.7904,-75.6035,Modest Town,Virginia,VA,Accomack,1,4
23414,37.8169,-75.5832,Nelsonia,Virginia,VA,Accomack,1,4
23415,37.9525,-75.5112,New Church,Virginia,VA,Accomack,1,4
23416,37.9229,-75.5386,Oak Hall,Virginia,VA,Accomack,1,4
23417,37.7102,-75.7528,Onancock,Virginia,VA,Accomack,1,4
23418,37.6704,-75.6992,Onley,Virginia,VA,Accomack,1,4
23420,37.5828,-75.8066,Painter,Virginia,VA,Accomack,1,4
23421,37.7744,-75.6386,Parksley,Virginia,VA,Accomack,1,4
23422,37.6304,-75.8135,Pungoteague,Virginia,VA,Accomack,1,4
23423,37.5423,-75.7412,Quinby,Virginia,VA,Accomack,1,4
23426,37.9229,-75.6781,Sanford,Virginia,VA,Accomack,1,4
23427,37.9264,-75.722,Saxis,Virginia,VA,Accomack,1,4
23440,37.8245,-75.993,Tangier,Virginia,VA,Accomack,1,4
23441,37.7104,-75.7005,Tasley,Virginia,VA,Accomack,1,4
23442,37.8954,-75.5528,Temperanceville,Virginia,VA,Accomack,1,4
23480,37.6044,-75.6925,Wachapreague,Virginia,VA,Accomack,1,4
23483,37.9437,-75.5023,Wattsville,Virginia,VA,Accomack,1,4
23488,37.9482,-75.6019,Withams,Virginia,VA,Accomack,1,4
22901,38.0936,-78.5611,Charlottesville,Virginia,VA,Albemarle,3,4
22909,38.0245,-78.4482,Charlottesville,Virginia,VA,Albemarle,3,4
22911,38.0995,-78.4085,Charlottesville,Virginia,VA,Albemarle,3,4
22924,38.0013,-78.7271,Batesville,Virginia,VA,Albemarle,3,4
22931,37.908,-78.7127,Covesville,Virginia,VA,Albemarle,3,4
22932,38.1296,-78.7106,Crozet,Virginia,VA,Albemarle,3,4
22936,38.1578,-78.4919,Earlysville,Virginia,VA,Albemarle,3,4
22937,37.8125,-78.6106,Esmont,Virginia,VA,Albemarle,3,4
22940,38.1944,-78.5849,Free Union,Virginia,VA,Albemarle,3,4
22943,38.0415,-78.7833,Greenwood,Virginia,VA,Albemarle,3,4
22945,38.0654,-78.5958,Ivy,Virginia,VA,Albemarle,3,4
22946,37.856,-78.5699,Keene,Virginia,VA,Albemarle,3,4
22947,38.0531,-78.3396,Keswick,Virginia,VA,Albemarle,3,4
22959,37.9336,-78.6351,North Garden,Virginia,VA,Albemarle,3,4
22987,38.1179,-78.6614,White Hall,Virginia,VA,Albemarle,3,4
24562,37.7511,-78.6313,Howardsville,Virginia,VA,Albemarle,3,4
24590,37.8049,-78.474,Scottsville,Virginia,VA,Albemarle,3,4
24422,37.8203,-79.8054,Clifton Forge,Virginia,VA,Alleghany,5,4
24448,37.7965,-79.786,Iron Gate,Virginia,VA,Alleghany,5,4
24457,37.7887,-79.8837,Low Moor,Virginia,VA,Alleghany,5,4
24474,37.8062,-79.8404,Selma,Virginia,VA,Alleghany,5,4
23002,37.3428,-77.9841,Amelia Court House,Virginia,VA,Amelia,7,4
23083,37.3176,-78.104,Jetersville,Virginia,VA,Amelia,7,4
23105,37.345,-77.9449,Mannboro,Virginia,VA,Amelia,7,4
24521,37.6027,-79.0506,Amherst,Virginia,VA,Amherst,9,4
24533,37.538,-78.9463,Clifford,Virginia,VA,Amherst,9,4
24572,37.4531,-79.1141,Madison Heights,Virginia,VA,Amherst,9,4
24574,37.5414,-79.1703,Monroe,Virginia,VA,Amherst,9,4
24595,37.5529,-79.0664,Sweet Briar,Virginia,VA,Amherst,9,4
23939,37.3185,-78.7658,Evergreen,Virginia,VA,Appomattox,11,4
23958,37.2653,-78.6517,Pamplin,Virginia,VA,Appomattox,11,4
24522,37.353,-78.8224,Appomattox,Virginia,VA,Appomattox,11,4
24593,37.3643,-78.9059,Spout Spring,Virginia,VA,Appomattox,11,4
22201,38.8871,-77.0932,Arlington,Virginia,VA,Arlington,13,4
22202,38.8565,-77.0592,Arlington,Virginia,VA,Arlington,13,4
22203,38.8738,-77.1142,Arlington,Virginia,VA,Arlington,13,4
22204,38.859,-77.0997,Arlington,Virginia,VA,Arlington,13,4
22205,38.8836,-77.1395,Arlington,Virginia,VA,Arlington,13,4
22206,38.8415,-77.0905,Arlington,Virginia,VA,Arlington,13,4
22207,38.9033,-77.1263,Arlington,Virginia,VA,Arlington,13,4
22209,38.8926,-77.0753,Arlington,Virginia,VA,Arlington,13,4
22210,38.8808,-77.1129,Arlington,Virginia,VA,Arlington,13,4
22211,38.8921,-77.0794,Fort Myer,Virginia,VA,Arlington,13,4
22212,38.8808,-77.1129,Arlington,Virginia,VA,Arlington,13,4
22213,38.8954,-77.1633,Arlington,Virginia,VA,Arlington,13,4
22214,38.8688,-77.0739,Arlington,Virginia,VA,Arlington,13,4
22215,38.8808,-77.1129,Arlington,Virginia,VA,Arlington,13,4
22216,38.8808,-77.1129,Arlington,Virginia,VA,Arlington,13,4
22217,38.8808,-77.1129,Arlington,Virginia,VA,Arlington,13,4
22219,38.8808,-77.1129,Arlington,Virginia,VA,Arlington,13,4
22225,38.8808,-77.1129,Arlington,Virginia,VA,Arlington,13,4
22226,38.8834,-77.1028,Arlington,Virginia,VA,Arlington,13,4
22227,38.8808,-77.1129,Arlington,Virginia,VA,Arlington,13,4
22230,38.8797,-77.1108,Arlington,Virginia,VA,Arlington,13,4
22240,38.8566,-77.0518,Arlington,Virginia,VA,Arlington,13,4
22241,38.8808,-77.1129,Arlington,Virginia,VA,Arlington,13,4
22242,38.8509,-77.0523,Arlington,Virginia,VA,Arlington,13,4
22243,38.8605,-77.0516,Arlington,Virginia,VA,Arlington,13,4
22244,38.8545,-77.052,Arlington,Virginia,VA,Arlington,13,4
22245,38.8518,-77.0523,Arlington,Virginia,VA,Arlington,13,4
22246,38.8808,-77.1129,Arlington,Virginia,VA,Arlington,13,4
22843,38.3328,-79.1028,Mount Solon,Virginia,VA,Augusta,15,4
22939,38.0964,-78.9929,Fishersville,Virginia,VA,Augusta,15,4
22952,37.9744,-78.9361,Lyndhurst,Virginia,VA,Augusta,15,4
24411,38.1025,-79.3195,Augusta Springs,Virginia,VA,Augusta,15,4
24421,38.2346,-79.1791,Churchville,Virginia,VA,Augusta,15,4
24430,38.0768,-79.3619,Craigsville,Virginia,VA,Augusta,15,4
24431,38.1684,-78.8413,Crimora,Virginia,VA,Augusta,15,4
24432,38.1842,-79.4152,Deerfield,Virginia,VA,Augusta,15,4
24437,38.2109,-78.9326,Fort Defiance,Virginia,VA,Augusta,15,4
24440,38.0018,-79.1359,Greenville,Virginia,VA,Augusta,15,4
24459,38.0242,-79.2812,Middlebrook,Virginia,VA,Augusta,15,4
24463,38.1797,-79.1413,Mint Spring,Virginia,VA,Augusta,15,4
24467,38.2612,-78.973,Mount Sidney,Virginia,VA,Augusta,15,4
24469,38.1979,-78.9059,New Hope,Virginia,VA,Augusta,15,4
24476,37.9705,-79.2233,Steeles Tavern,Virginia,VA,Augusta,15,4
24477,38.0144,-79.0298,Stuarts Draft,Virginia,VA,Augusta,15,4
24479,38.1591,-79.1873,Swoope,Virginia,VA,Augusta,15,4
24482,38.2037,-79.0059,Verona,Virginia,VA,Augusta,15,4
24485,38.2744,-79.3201,West Augusta,Virginia,VA,Augusta,15,4
24486,38.2931,-78.9235,Weyers Cave,Virginia,VA,Augusta,15,4
24412,38.054,-79.8437,Bacova,Virginia,VA,Bath,17,4
24445,37.9638,-79.8717,Hot Springs,Virginia,VA,Bath,17,4
24460,38.0553,-79.7464,Millboro,Virginia,VA,Bath,17,4
24484,38.1437,-79.8207,Warm Springs,Virginia,VA,Bath,17,4
24487,38.1898,-79.5879,Williamsville,Virginia,VA,Bath,17,4
24095,37.2123,-79.7429,Goodview,Virginia,VA,Bedford,19,4
24101,37.2145,-79.8127,Hardy,Virginia,VA,Bedford,19,4
24104,37.1442,-79.491,Huddleston,Virginia,VA,Bedford,19,4
24121,37.1784,-79.6521,Moneta,Virginia,VA,Bedford,19,4
24122,37.407,-79.7175,Montvale,Virginia,VA,Bedford,19,4
24174,37.36,-79.6522,Thaxton,Virginia,VA,Bedford,19,4
24178,37.3105,-79.7898,Villamont,Virginia,VA,Bedford,19,4
24526,37.5306,-79.3827,Big Island,Virginia,VA,Bedford,19,4
24536,37.4887,-79.3158,Coleman Falls,Virginia,VA,Bedford,19,4
24551,37.3379,-79.2791,Forest,Virginia,VA,Bedford,19,4
24556,37.3755,-79.4039,Goode,Virginia,VA,Bedford,19,4
24570,37.3484,-79.4271,Lowry,Virginia,VA,Bedford,19,4
24314,37.1574,-81.1989,Bastian,Virginia,VA,Bland,21,4
24315,37.1376,-81.0201,Bland,Virginia,VA,Bland,21,4
24318,37.0046,-81.3643,Ceres,Virginia,VA,Bland,21,4
24366,37.2578,-81.1159,Rocky Gap,Virginia,VA,Bland,21,4
24019,37.3515,-79.9052,Roanoke,Virginia,VA,Botetourt,23,4
24050,37.5551,-79.7862,Roanoke,Virginia,VA,Botetourt,23,4
24064,37.3885,-79.8172,Blue Ridge,Virginia,VA,Botetourt,23,4
24066,37.5479,-79.7123,Buchanan,Virginia,VA,Botetourt,23,4
24077,37.3651,-79.9056,Cloverdale,Virginia,VA,Botetourt,23,4
24083,37.4125,-79.9211,Daleville,Virginia,VA,Botetourt,23,4
24085,37.6667,-79.8172,Eagle Rock,Virginia,VA,Botetourt,23,4
24090,37.4911,-79.8511,Fincastle,Virginia,VA,Botetourt,23,4
24130,37.6165,-79.9837,Oriskany,Virginia,VA,Botetourt,23,4
24175,37.4019,-79.8786,Troutville,Virginia,VA,Botetourt,23,4
24438,37.7529,-79.8189,Glen Wilton,Virginia,VA,Botetourt,23,4
23821,36.8806,-77.9055,Alberta,Virginia,VA,Brunswick,25,4
23843,36.8318,-77.7887,Dolphin,Virginia,VA,Brunswick,25,4
23845,36.5722,-77.9888,Ebony,Virginia,VA,Brunswick,25,4
23856,36.7893,-77.7208,Freeman,Virginia,VA,Brunswick,25,4
23857,36.5856,-77.8836,Gasburg,Virginia,VA,Brunswick,25,4
23868,36.7342,-77.8136,Lawrenceville,Virginia,VA,Brunswick,25,4
23873,36.8088,-77.9544,Meredithville,Virginia,VA,Brunswick,25,4
23876,36.953,-77.8237,Rawlings,Virginia,VA,Brunswick,25,4
23887,36.565,-77.8384,Valentines,Virginia,VA,Brunswick,25,4
23889,36.9011,-77.7673,Warfield,Virginia,VA,Brunswick,25,4
23893,36.6335,-77.9592,White Plains,Virginia,VA,Brunswick,25,4
23920,36.7319,-77.9898,Brodnax,Virginia,VA,Brunswick,25,4
24239,37.1134,-82.1501,Davenport,Virginia,VA,Buchanan,27,4
24603,37.3532,-82.1968,Big Rock,Virginia,VA,Buchanan,27,4
24614,37.2967,-82.1061,Grundy,Virginia,VA,Buchanan,27,4
24620,37.4017,-82.0262,Hurley,Virginia,VA,Buchanan,27,4
24624,37.2023,-81.9862,Keen Mountain,Virginia,VA,Buchanan,27,4
24627,37.288,-82.0274,Mavisdale,Virginia,VA,Buchanan,27,4
24628,37.3012,-82.1743,Maxie,Virginia,VA,Buchanan,27,4
24631,37.2138,-81.9917,Oakwood,Virginia,VA,Buchanan,27,4
24634,37.2746,-81.9024,Pilgrims Knob,Virginia,VA,Buchanan,27,1
24639,37.1481,-81.8896,Raven,Virginia,VA,Buchanan,27,4
24646,37.1276,-82.0274,Rowe,Virginia,VA,Buchanan,27,4
24647,37.1573,-81.8729,Shortt Gap,Virginia,VA,Buchanan,27,4
24656,37.1738,-82.1277,Vansant,Virginia,VA,Buchanan,27,4
24657,37.2251,-81.8605,Whitewood,Virginia,VA,Buchanan,27,4
24658,37.288,-82.0274,Wolford,Virginia,VA,Buchanan,27,4
23004,37.6714,-78.3889,Arvonia,Virginia,VA,Buckingham,29,4
23123,37.6645,-78.3112,New Canton,Virginia,VA,Buckingham,29,4
23921,37.5833,-78.5985,Buckingham,Virginia,VA,Buckingham,29,4
23936,37.4124,-78.4349,Dillwyn,Virginia,VA,Buckingham,29,4
24513,37.2458,-79.1335,Lynchburg,Virginia,VA,Campbell,31,4
24517,37.1222,-79.2911,Altavista,Virginia,VA,Campbell,31,4
24528,37.0827,-78.9227,Brookneal,Virginia,VA,Campbell,31,4
24538,37.337,-78.9804,Concord,Virginia,VA,Campbell,31,4
24550,37.261,-79.2317,Evington,Virginia,VA,Campbell,31,4
24554,37.1386,-79.1048,Gladys,Virginia,VA,Campbell,31,4
24569,37.0644,-79.1219,Long Island,Virginia,VA,Campbell,31,4
24571,37.1528,-79.3297,Lynch Station,Virginia,VA,Campbell,31,4
24576,37.2458,-79.1335,Naruna,Virginia,VA,Campbell,31,4
24588,37.2545,-79.1215,Rustburg,Virginia,VA,Campbell,31,4
22427,38.0137,-77.1802,Bowling Green,Virginia,VA,Caroline,33,4
22428,38.0496,-77.3466,Bowling Green,Virginia,VA,Caroline,33,4
22446,38.1996,-77.3889,Corbin,Virginia,VA,Caroline,33,4
22501,38.0176,-77.5153,Ladysmith,Virginia,VA,Caroline,33,4
22514,38.0058,-77.3185,Milford,Virginia,VA,Caroline,33,4
22535,38.1621,-77.1837,Port Royal,Virginia,VA,Caroline,33,4
22538,38.2079,-77.2502,Rappahannock Academy,Virginia,VA,Caroline,33,4
22546,37.9451,-77.4714,Ruther Glen,Virginia,VA,Caroline,33,4
22552,38.0094,-77.2251,Sparta,Virginia,VA,Caroline,33,4
22580,38.0847,-77.4399,Woodford,Virginia,VA,Caroline,33,4
24317,36.5957,-80.6705,Cana,Virginia,VA,Carroll,35,4
24325,36.8145,-80.6123,Dugspur,Virginia,VA,Carroll,35,4
24328,36.664,-80.6907,Fancy Gap,Virginia,VA,Carroll,35,4
24343,36.7442,-80.7197,Hillsville,Virginia,VA,Carroll,35,4
24351,36.5775,-80.7601,Lambsburg,Virginia,VA,Carroll,35,4
24352,36.7073,-80.5148,Laurel Fork,Virginia,VA,Carroll,35,4
24381,36.7879,-80.8824,Woodlawn,Virginia,VA,Carroll,35,4
23030,37.3663,-77.1082,Charles City,Virginia,VA,Charles City,36,4
23147,37.3796,-77.0348,Ruthville,Virginia,VA,Charles City,36,4
23923,37.0879,-78.6378,Charlotte Court House,Virginia,VA,Charlotte,37,4
23934,37.1552,-78.6459,Cullen,Virginia,VA,Charlotte,37,4
23937,36.9688,-78.5615,Drakes Branch,Virginia,VA,Charlotte,37,4
